[18, 10]
[19, 5]
[20, 5]
[9, 5]
[20, 10]
[12, 10]
[14, 5]
[16, 9]
[12, 5]
[17, 5]
[17, 9]
[16, 2]
[20, 5]
[13, 10]
[15, 10]
[10, 10]
[20, 6]
[18, 4]
[14, 9]
[14, 8]
[11, 3]
[20, 3]
[18, 10]
[16, 10]
[9, 10]
[19, 10]
[8, 5]
[20, 4]
[20, 10]
[12, 9]
[12, 7]
[12, 8]
[9, 3]
[12, 2]
[15, 2]
[16, 3]
[17, 3]
[15, 6]
[15, 8]
[11, 10]
[13, 2]
[11, 4]
[20, 8]
[20, 2]
[17, 6]
[12, 8]
[15, 9]
[20, 3]
[15, 5]
[14, 10]
[17, 10]
[9, 6]
[19, 6]
[5, 10]
[19, 8]
[8, 7]
[17, 7]
[11, 9]
[20, 9]
[11, 8]
[18, 8]
[20, 6]
[16, 3]
[17, 9]
[13, 7]
[15, 10]
[13, 2]
[15, 7]
[19, 3]
[17, 8]
[13, 9]
[18, 9]
[17, 7]
[20, 7]
[12, 11]
[14, 11]
[10, 5]
[13, 5]
[17, 2]
[16, 6]
[7, 2]
[11, 2]
[14, 2]
[11, 2]
[8, 9]
[14, 2]
[13, 4]
[9, 2]
[19, 2]
[10, 3]
[13, 8]
[7, 10]
[6, 11]
[10, 11]
[20, 11]
[19, 10]
[8, 10]
[15, 4]
[10, 7]
[18, 8]
[14, 3]
[16, 4]
[15, 11]
[19, 11]
[11, 4]
[13, 3]
[16, 6]
[13, 11]
[10, 10]
[18, 3]
[17, 10]
[17, 8]
[20, 9]
[13, 11]
[9, 11]
[16, 11]
[14, 4]
[12, 6]
[5, 9]
[14, 7]
[19, 9]
[11, 5]
[18, 11]
[8, 10]
[11, 6]
[19, 4]
[14, 11]
[9, 7]
[7, 8]
[19, 7]
[13, 10]
[12, 3]
[10, 4]
[12, 5]
[18, 2]
[14, 6]
[11, 7]
[12, 4]
[9, 8]
[12, 4]
[17, 11]
[8, 8]
[16, 8]
[11, 8]
[11, 10]
[10, 4]
[8, 6]
[10, 6]
[18, 6]
[15, 9]
[13, 4]
[10, 2]
[7, 9]
[5, 3]
[14, 3]
[6, 6]
[18, 7]
[18, 4]
[10, 5]
[13, 8]
[7, 5]
[13, 7]
[20, 2]
[14, 9]
[13, 9]
[8, 3]
[4, 7]
[15, 5]
[15, 4]
[19, 2]
[5, 8]
[6, 8]
[18, 7]
[11, 11]
[6, 10]
[16, 8]
[7, 11]
[11, 11]
[17, 5]
[18, 5]
[10, 3]
[16, 9]
[7, 4]
[17, 4]
[9, 3]
[5, 5]
[9, 4]
[7, 7]
[20, 11]
[16, 7]
[5, 11]
[13, 5]
[12, 6]
[12, 11]
[16, 10]
[12, 9]
[15, 3]
[4, 4]
[13, 6]
[8, 2]
[14, 6]
[6, 9]
[11, 3]
[10, 9]
[6, 4]
[19, 3]
[17, 4]
[12, 2]
[4, 5]
[7, 3]
[10, 8]
[9, 10]
[20, 4]
[15, 3]
[19, 4]
[18, 11]
[18, 6]
[6, 7]
[11, 7]
[16, 5]
[15, 6]
[17, 11]
[19, 7]
[4, 10]
[4, 9]
[10, 8]
[9, 4]
[7, 9]
[5, 6]
[11, 6]
[4, 11]
[6, 2]
[18, 3]
[9, 5]
[20, 8]
[13, 6]
[11, 5]
[19, 11]
[17, 2]
[10, 6]
[7, 6]
[9, 9]
[7, 6]
[15, 11]
[14, 7]
[6, 10]
[8, 7]
[5, 10]
[19, 6]
[8, 5]
[8, 11]
[8, 4]
[15, 8]
[9, 11]
[5, 4]
[6, 5]
[4, 3]
[10, 7]
[9, 6]
[8, 11]
[6, 3]
[5, 7]
[9, 8]
[10, 9]
[5, 5]
[6, 7]
[8, 6]
[11, 9]
[9, 2]
[4, 5]
[4, 10]
[4, 2]
[5, 2]
[5, 7]
[7, 2]
